"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AF60F19D11LRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF60F19D11LS","1","AF60F19D11LN","1.00","730000.00","INDOOR","True"
"AF60F19D11LS","2","AF60F19D1PBX","1.00","486000.00","OUTDOOR","False"
"AF60F19D11LS","3","AFR-QC3F","1.00","34000.00","REMOTE","False"
"AF60F19D11WRS","1","AF60F19D11WN","1.00","721000.00","INDOOR","True"
"AF60F19D11WRS","2","AF60F19D1PBX","1.00","481000.00","OUTDOOR","False"
"AF60F19D11WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF60F19D11WRS","4","AFR-QC3F","1.00","34000.00","REMOTE","False"
"AF60F19D11WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF60F19D11WS","1","AF60F19D11WN","1.00","742000.00","INDOOR","True"
"AF60F19D11WS","2","AF60F19D1PBX","1.00","494000.00","OUTDOOR","False"
"AF60F19D11WS","3","AFR-QC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11BRS","1","AF70F17D11BN","1.00","829000.00","INDOOR","True"
"AF70F17D11BRS","2","AF70F17D1QBX","1.00","553000.00","OUTDOOR","False"
"AF70F17D11BRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D11BRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11BRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D11BS","1","AF70F17D11BN","1.00","850000.00","INDOOR","True"
"AF70F17D11BS","2","AF70F17D1QBX","1.00","566000.00","OUTDOOR","False"
"AF70F17D11BS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11GRS","1","AF70F17D11GN","1.00","829000.00","INDOOR","True"
"AF70F17D11GRS","2","AF70F17D1QBX","1.00","553000.00","OUTDOOR","False"
"AF70F17D11GRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D11GRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11GRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D11GS","1","AF70F17D11GN","1.00","850000.00","INDOOR","True"
"AF70F17D11GS","2","AF70F17D1QBX","1.00","566000.00","OUTDOOR","False"
"AF70F17D11GS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11LRS","1","AF70F17D11LN","1.00","829000.00","INDOOR","True"
"AF70F17D11LRS","2","AF70F17D1QBX","1.00","553000.00","OUTDOOR","False"
"AF70F17D11LRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D11LRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11LRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D11LS","1","AF70F17D11LN","1.00","850000.00","INDOOR","True"
"AF70F17D11LS","2","AF70F17D1QBX","1.00","566000.00","OUTDOOR","False"
"AF70F17D11LS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11WRS","1","AF70F17D11WN","1.00","829000.00","INDOOR","True"
"AF70F17D11WRS","2","AF70F17D1QBX","1.00","553000.00","OUTDOOR","False"
"AF70F17D11WRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D11WRS","4","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D11WRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D11WS","1","AF70F17D11WN","1.00","850000.00","INDOOR","True"
"AF70F17D11WS","2","AF70F17D1QBX","1.00","566000.00","OUTDOOR","False"
"AF70F17D11WS","3","AFR-BC3F","1.00","34000.00","REMOTE","False"
"AF70F17D24ERS","1","AF70F17D24EN","1.00","1009000.00","INDOOR","True"
"AF70F17D24ERS","2","AF70F17D2QBX","1.00","673000.00","OUTDOOR","False"
"AF70F17D24ERS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D24ERS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24ERS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D24ES","1","AF70F17D24EN","1.00","1042000.00","INDOOR","True"
"AF70F17D24ES","2","AF70F17D2QBX","1.00","694000.00","OUTDOOR","False"
"AF70F17D24ES","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24IRS","1","AF70F17D24IN","1.00","1009000.00","INDOOR","True"
"AF70F17D24IRS","2","AF70F17D2QBX","1.00","673000.00","OUTDOOR","False"
"AF70F17D24IRS","3","AR60F06D1A0Q","1.00","200000.00","ACCESSORY","False"
"AF70F17D24IRS","4","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24IRS","5","ARR-WK8F","1.00","34000.00","REMOTE","False"
"AF70F17D24IS","1","AF70F17D24IN","1.00","1042000.00","INDOOR","True"
"AF70F17D24IS","2","AF70F17D2QBX","1.00","694000.00","OUTDOOR","False"
"AF70F17D24IS","3","AFR-BC9F","1.00","34000.00","REMOTE","False"
"AF70F17D24LRS","1","AF70F17D24LN","1.00","1033000.00","INDOOR","True"
